time,e1,e2,e3,zd,theta,yaw_dot,x,y,h
62.59799999999999,-0.828381929206027,0.49179872453601137,0.49179872453601137,4.0973500000000005,-0.3974114706791088,-0.008,1.985198974609375,1.985198974609375,1.985198974609375
62.648,-0.8243345911356652,0.49361872453601086,0.49361872453600997,4.09917,-0.3977605365295077,-0.008,1.985687255859375,1.985687255859375,1.985687255859375
62.698,-0.8191441862120712,0.49520872453601106,0.49520872453601106,4.10076,-0.39828413530510604,-0.008,1.98577880859375,1.98577880859375,1.98577880859375
62.797999999999995,-0.8125854004240352,0.49685872453601077,0.49685872453601077,4.10241,-0.3989822670059037,-0.018000000000000002,1.98663330078125,1.98663330078125,1.98663330078125
62.84799999999999,-0.8079947336603581,0.4993687245360108,0.4993687245360108,4.10492,-0.39933133285630257,-0.006,1.9866943359375,1.9866943359375,1.9866943359375
62.898,-0.7882626472087324,0.507738724536011,0.507738724536011,4.11329,-0.40107666210829696,0.002,1.98675537109375,1.98675537109375,1.98675537109375
62.948,-0.7858316110448915,0.5091587245360105,0.5091587245360105,4.11471,-0.4012511950334963,0.0,1.98687744140625,1.98687744140625,1.98687744140625
62.998,-0.77397112183225,0.5175587245360105,0.5175587245360105,4.12311,-0.4019493267342941,0.01,1.987152099609375,1.987152099609375,1.987152099609375
63.047999999999995,-0.7653524733764718,0.5234887245360107,0.5234887245360107,4.12904,-0.4024729255098924,0.018000000000000002,1.98785400390625,1.98785400390625,1.98785400390625
63.09799999999999,-0.7585136604857388,0.528828724536011,0.528828724536011,4.13438,-0.40282199136029123,0.016,1.988250732421875,1.988250732421875,1.988250732421875
63.148,-0.7521078008784055,0.5336087245360104,0.5336087245360104,4.1391599999999995,-0.40317105721069013,0.016,1.988616943359375,1.988616943359375,1.988616943359375
63.198,-0.7404970889976523,0.5416187245360109,0.5416187245360109,4.14717,-0.4038691889114879,0.016,1.988922119140625,1.988922119140625,1.988922119140625
63.248,-0.740336337805624,0.5384387245360105,0.5384387245360105,4.14399,-0.4042182547618867,0.006,1.989166259765625,1.989166259765625,1.989166259765625
63.297999999999995,-0.7562022250957599,0.5402687245360105,0.5402687245360105,4.14582,-0.4019493267342941,0.008,1.989349365234375,1.989349365234375,1.989349365234375
63.34799999999999,-0.7709922357406969,0.5418087245360108,0.5418087245360108,4.14736,-0.3998549316319009,0.008,1.98992919921875,1.98992919921875,1.98992919921875
63.398,-0.7568747168339836,0.5462287245360105,0.5462287245360105,4.15178,-0.4012511950334963,0.008,1.990234375,1.990234375,1.990234375
63.448,-0.7724406200582767,0.5468087245360107,0.5468087245360107,4.15236,-0.3991567999311032,-0.002,1.99102783203125,1.99102783203125,1.99102783203125
63.498,-0.72949256010057,0.5505287245360111,0.5505287245360111,4.15608,-0.4043927876870862,-0.01,1.99163818359375,1.99163818359375,1.99163818359375
63.547999999999995,-0.7182337909323726,0.5512787245360111,0.5512787245360111,4.15683,-0.40578905108868163,-0.008,1.992919921875,1.992919921875,1.992919921875
63.59799999999999,-0.7157809800927035,0.5510087245360116,0.5510087245360116,4.156560000000001,-0.4061381169390805,-0.008,1.99346923828125,1.99346923828125,1.99346923828125
63.648,-0.710236554759978,0.5512787245360111,0.5512787245360111,4.15683,-0.4068362486398782,-0.018000000000000002,1.994171142578125,1.994171142578125,1.994171142578125
